fylkenummer,fylkenavn,IOs_kjonn,Usually eats vegetables or salads daily
1,Østfold,1,51
1,Østfold,2,62
2,Akershus,1,50
2,Akershus,2,72
3,Oslo,1,52
3,Oslo,2,69
4,Hedmark,1,43
4,Hedmark,2,65
5,Oppland,1,46
5,Oppland,2,67
6,Buskerud,1,52
6,Buskerud,2,66
7,Vestfold,1,54
7,Vestfold,2,70
8,Telemark,1,40
8,Telemark,2,63
9,Aust-Agder,1,50
9,Aust-Agder,2,66
10,Vest-Agder,1,51
10,Vest-Agder,2,54
11,Rogaland,1,57
11,Rogaland,2,71
12,Hordaland,1,48
12,Hordaland,2,69
14,Sogn og Fjordane,1,49
14,Sogn og Fjordane,2,66
15,Møre og Romsdal,1,44
15,Møre og Romsdal,2,58
18,Nordland,1,46
18,Nordland,2,64
19,Troms - Romsa,1,48
19,Troms - Romsa,2,64
20,Finnmark - Finnmárku,1,46
20,Finnmark - Finnmárku,2,63
50,Trøndelag - Trööndelage,1,44
50,Trøndelag - Trööndelage,2,63
